0	1	2		Somme
0,2857143	0,6666667	1,428571		2,380952
0	0,4	1,111111		1,511111
0,6666667	0,5	0,9090909		2,0757576
0,5	0,3333333	0,7692308		1,6025641
1	0,4	0,6666667		2,0666667
1,428571	0,5	0		1,928571
1,111111	0,5	1		2,611111
0,9090909	0,5	0		1,4090909
0,7692308	1	0		1,7692308
0	1,428571	1		2,428571
1	1,111111	0,5		2,611111
0,6666667	0,9090909	0,5		2,0757576
0,6666667	0,7692308	0,4		1,8358975
0,6666667	0,6666667	0,4		1,7333334
1	0,5882353	0,3333333		1,9215686
1,428571	0	1		2,428571
1,111111	0,5	1		2,611111
0,9090909	0	0,5		1,4090909
0,7692308	1	0,5		2,2692308
0	1,428571	0,5		1,928571
0,6666667	1,111111	0,5		2,2777777
0,4	0,9090909	0,5		1,8090909
0,5	0,7692308	0,5		1,7692308
0,5	0,6666667	0,6666667		1,8333334
0,5	0	1,428571		1,928571
0,4	1	1,111111		2,511111
0,6666667	0,6666667	0,9090909		2,2424243
1	0,5	0,7692308		2,2692308
1,428571	0,5	0		1,928571
1,111111	0,4	0,6666667		2,1777777
0,9090909	0,4	0,5		1,8090909
0,7692308	0,5	0,6666667		1,9358975
0,6666667	0,5	1		2,1666667
0	0,4	1,428571		1,828571
0,5	0,3333333	1,111111		1,9444443
0,5	0,6666667	0,9090909		2,0757576
0,2857143	0,4	0,7692308		1,4549451
0,2857143	0,5	0,6666667		1,452381
0,25	0,5	0,5882353		1,3382353
0,25	0,3333333	0,5263158		1,1096491
0,25	0,3333333	0,4761905		1,0595238
0,25	0,4	0,4347826		1,0847826
0,2857143	0,3333333	0,4		1,0190476
0,3333333	0,4	0,3703704		1,1037037
0,4	1,428571	0		1,828571
0,5	1,111111	0,2857143		1,8968253
0,6666667	0,9090909	0,3333333		1,9090909
1	0,7692308	0,4		2,1692308
1,428571	0	0,4		1,828571
1,111111	0,3333333	0,4		1,8444443
0,9090909	0,2857143	0,5		1,6948052
0,7692308	0,25	0,6666667		1,6858975
0,6666667	0,6666667	0,5		1,8333334
0	1,428571	0		1,428571
1	1,111111	0,6666667		2,7777777
1	0,9090909	0,6666667		2,5757576
1,428571	0	0,4		1,828571
1,111111	0,5	0,4		2,011111
0,9090909	1	1		2,9090909
0	0,6666667	1,428571		2,0952377
0,6666667	0,6666667	1,111111		2,4444444
0,5	0,6666667	0,9090909		2,0757576
0,6666667	0,6666667	0,7692308		2,1025642
1	0,6666667	0,6666667		2,3333334
1,428571	0,4	0		1,828571
1,111111	0,6666667	0,6666667		2,4444444
0,9090909	0,4	1		2,3090909
0	0,5	1,428571		1,928571
0,5	0,4	1,111111		2,011111
1	0,2857143	0,9090909		2,1948052
1,428571	0,3333333	0		1,7619043
1,111111	0,4	0,5		2,011111
0,9090909	0,4	0,6666667		1,9757576
0,7692308	0,3333333	0,5		1,6025641
0,6666667	0,4	0,5		1,5666667
0,5882353	0,3333333	0,5		1,4215686
0,5263158	0,3333333	0,4		1,2596491
0,4761905	0,4	0,3333333		1,2095238
0,4347826	0,5	0,2857143		1,2204969
0	1,428571	0,4		1,828571
1	1,111111	0,6666667		2,7777777
0,5	0,9090909	0,4		1,8090909
0,4	0,7692308	0,5		1,6692308
0,4	0,6666667	0,5		1,5666667
0,2857143	0,5882353	0,5		1,3739496
0,4	0,5263158	0,5		1,4263158
0,4	0,4761905	1		1,8761905
0,3333333	0	1,428571		1,7619043
0,3333333	1	1,111111		2,4444443
0,3333333	1	0,9090909		2,2424242
0,4	1,428571	0		1,828571
0,3333333	1,111111	0		1,4444443
0,2857143	0,9090909	0		1,1948052
0,25	0,7692308	1		2,0192308
1	0	1,428571		2,428571
0,6666667	0,6666667	1,111111		2,4444444
0,6666667	0,6666667	0,9090909		2,2424243
0,5	1	0,7692308		2,2692308
0,3333333	1,428571	0		1,7619043
0,6666667	1,111111	0,6666667		2,4444444
0,6666667	0,9090909	0,5		2,0757576
0,5	0,7692308	0,5		1,7692308
0,6666667	0,6666667	0,4		1,7333334
0,6666667	0,5882353	0,5		1,754902
1,428571	0	0,4		1,828571
1,111111	0,5	0,4		2,011111
0,9090909	0,4	0,5		1,8090909
0,7692308	0,4	0,5		1,6692308
0,6666667	0,6666667	0,5		1,8333334
0	1,428571	0,5		1,928571
0,3333333	1,111111	0,6666667		2,111111
0,2857143	0,9090909	0,5		1,6948052
0,3333333	0,7692308	0,4		1,5025641
0,4	0,6666667	0,5		1,5666667
0,4	0,5882353	0,5		1,4882353
0,5	0,5263158	0,5		1,5263158
0	0,4761905	1		1,4761905
0	0	1,428571		1,428571
0	0,5	1,111111		1,611111
1	0,5	0,9090909		2,4090909
1,428571	0,4	0		1,828571
1,111111	0,4	0,5		2,011111
0,9090909	0,4	1		2,3090909
0	1	1,428571		2,428571
1	1	1,111111		3,111111
1	0,6666667	0,9090909		2,5757576
1,428571	0,6666667	0		2,0952377
1,111111	0,5	0,4		2,011111
0,9090909	0,5	0,6666667		2,0757576
0,7692308	0,6666667	0,6666667		2,1025642
0,6666667	0,6666667	0,6666667		2,0000001
0	0,4	1,428571		1,828571
0,6666667	0,3333333	1,111111		2,111111
0,6666667	0,4	0,9090909		1,9757576
0,6666667	0,4	0,7692308		1,8358975
0,5	0,3333333	0,6666667		1,5
0,5	0,4	0,5882353		1,4882353
0,5	0,4	0,5263158		1,4263158
0,6666667	0,5	0,4761905		1,6428572
1,428571	0,5	0		1,928571
1,111111	0,6666667	1		2,7777777
0,9090909	0,5	0,4		1,8090909
0,7692308	1	0,4		2,1692308
0	1,428571	0,3333333		1,7619043
0,5	1,111111	0,4		2,011111
1	0,9090909	0,6666667		2,5757576
1,428571	0	0,6666667		2,0952377
1,111111	1	0,6666667		2,7777777
0,9090909	0,6666667	0,5		2,0757576
0,7692308	0,6666667	0,4		1,8358975
0,6666667	0,6666667	0,3333333		1,6666667
0	1,428571	0,4		1,828571
0,3333333	1,111111	0,4		1,8444443
0,5	0,9090909	0,3333333		1,7424242
0,5	0,7692308	0,3333333		1,6025641
0,6666667	0,6666667	0,4		1,7333334
0,5	0,5882353	0,4		1,4882353
0,6666667	0,5263158	0,5		1,6929825
1,428571	0	0,3333333		1,7619043
1,111111	0,5	0,3333333		1,9444443
0,9090909	0,4	0,4		1,7090909
0,7692308	0,4	0,3333333		1,5025641
0,6666667	0,2857143	0,3333333		1,2857143
0,5882353	0,3333333	0,5		1,4215686
0,5263158	0,3333333	0,3333333		1,1929824
0,4761905	0,3333333	0,5		1,3095238
0	0,5	1,428571		1,928571
0,5	0,4	1,111111		2,011111
0,5	0,3333333	0,9090909		1,7424242
0,2857143	0,2857143	0,7692308		1,3406594
0,4	0,2857143	0,6666667		1,352381
0,4	1	0,5882353		1,9882353
1	1,428571	0		2,428571
1	1,111111	0,4		2,511111
1	0,9090909	0,2857143		2,1948052
1,428571	0	0,5		1,928571
1,111111	1	0,4		2,511111
0,9090909	0,6666667	0,3333333		1,9090909
0,7692308	0,6666667	0,3333333		1,7692308
0,6666667	0,5	0,3333333		1,5
0,5882353	0,5	0,3333333		1,4215686
0,5263158	0,6666667	0,4		1,5929825
0	1,428571	0,3333333		1,7619043
0,4	1,111111	0,3333333		1,8444443
0,3333333	0,9090909	0,5		1,7424242
0,6666667	0,7692308	0,4		1,8358975
0,5	0,6666667	0,3333333		1,5
0,4	0,5882353	0,6666667		1,654902
0,4	0	1,428571		1,828571
0,6666667	0,6666667	1,111111		2,4444444
0,6666667	0,6666667	0,9090909		2,2424243
0,5	0,5	0,7692308		1,7692308
0,4	0,4	0,6666667		1,4666667
0,4	0,4	0,5882353		1,3882353
0,4	0,5	0,5263158		1,4263158
0,3333333	0,4	0,4761905		1,2095238
0,5	0,5	0,4347826		1,4347826
0,6666667	1,428571	0		2,0952377
0,6666667	1,111111	0,4		2,1777777
1	0,9090909	0,5		2,4090909
1,428571	0	0,5		1,928571
1,111111	1	0,5		2,611111
0,9090909	1	0,6666667		2,5757576
0	1,428571	0,6666667		2,0952377
0,6666667	1,111111	0,6666667		2,4444444
1	0,9090909	1		2,9090909
1	0	1,428571		2,428571
0,5	0	1,111111		1,611111
0,5	0	0,9090909		1,4090909
0,6666667	0	0,7692308		1,4358975
0,6666667	0	0,6666667		1,3333334
0,6666667	0	0,5882353		1,254902
1,428571	0,6666667	0		2,0952377
1,111111	0,5	0,6666667		2,2777777
0,9090909	0,5	0,6666667		2,0757576
0,7692308	0,4	0,6666667		1,8358975
